situation,thought,action,polarity
I need to buy a new pair of shoes . ,I will never find a comfortable pair .,I go to a lot of different stores .,0
I need to buy a new pair of shoes . ,I will never find a comfortable pair .,I try on every single pair in the store .,0
I need to buy a new pair of shoes . ,I will never find a comfortable pair .,I try on several pairs before I decide .,0
I need to buy a new pair of shoes . ,I will not have enough money .,I look through some old catalogues to find a cheaper option .,0
I need to buy a new pair of shoes . ,I will not have enough money .,I search for coupons online .,0
I need to buy a new pair of shoes . ,I won't be able to find any that fit .,I go to the store and try them on.,0
I need to buy a new pair of shoes . ,hey will be too expensive .,I search for a cheaper option online .,0
I need to buy a new pair of shoes . ,hey will be too expensive .,I always look for a sale .,0
I need to buy a new pair of shoes . ,hey will be too expensive .,I always wait for a sale .,0
I continued to drive despite the warnings . ,my car would be totaled .,I called my insurance company .,0
I continued to drive despite the warnings . ,I will damage the car .,I got out to check the tires .,0
I continued to drive despite the warnings . ,I will damage the car .,I stopped the car and fully assessed the situation.,0
I continued to drive despite the warnings . ,I would have an accident .,I called my insurance company .,0
I continued to drive despite the warnings . ,I would have an accident .,I called my insurance agent .,0
I continued to drive despite the warnings . ,I would have an accident .,I stopped the car and called for help .,0
I continued to drive despite the warnings . ,I may get into an accident .,I drive more carefully .,0
I continued to drive despite the warnings . ,I may get into an accident .,I am trying to be more cautious .,0
I continued to drive despite the warnings . ,I may get into an accident .,I use my phone to call a tow truck .,0
The students crowd around the table to get a better view of the experiment . ,I will be pushed .,I take a step back .,0
The students crowd around the table to get a better view of the experiment . ,I will be pushed .,I stand to the side .,0
The students crowd around the table to get a better view of the experiment . ,I will be stepped on .,I ask the teacher to move me to the front .,0
The students crowd around the table to get a better view of the experiment . ,I will be stepped on .,I inch away from the table .,0
The students crowd around the table to get a better view of the experiment . ,I will not be able to see .,I stand on my toes .,0
The students crowd around the table to get a better view of the experiment . ,he table will collapse .,I hold on to the edge of the table .,0
I decided to go on a hike with my friends . ,I  would  get  lost .,I brought a map .,0
I decided to go on a hike with my friends . ,I  would  get  lost .,I asked them to go over the map with me .,0
I decided to go on a hike with my friends . ,I wouldn't be able to keep up .,I trained by running every day leading up to the hike.,0
I decided to go on a hike with my friends . ,I wouldn't be able to keep up .,I trained by walking every day for two weeks .,0
I decided to go on a hike with my friends . ,I might fall and get hurt .,I brought some safety supplies .,0
I decided to go on a hike with my friends . ,I might fall and get hurt .,I brought a first-aid kit with me .,0
I decided to go on a hike with my friends . ,I might fall and get hurt .,I told my mom where we were going .,0
I yelled back at my brother when he called me names . ,I will be in big trouble .,I apologize to him right away .,0
I yelled back at my brother when he called me names . ,I will be in big trouble .,I lied and said I was sorry.,0
I yelled back at my brother when he called me names . ,I will regret it later .,I apologized to him .,0
I yelled back at my brother when he called me names . ,I will regret it later .,I gently asked him to stop .,0
I yelled back at my brother when he called me names . ,he won't talk to me for awhile .,I immediately regretted it and asked for forgiveness .,0
I yelled back at my brother when he called me names . ,he will never listen to me .,I apologized to him later .,0
I yelled back at my brother when he called me names . ,he will never listen to me .,I immediately felt regretful and tried to apologize .,0
I would play tennis with my friend . ,I will not be able to hit the ball .,I practice hitting the ball alone beforehand.,0
I would play tennis with my friend . ,I will not be able to hit the ball .,I warm up by hitting the ball against the wall .,0
I would play tennis with my friend . ,I will not win .,I practice more frequently .,0
I would play tennis with my friend . ,I would  be   very   bad .,I always practice before playing with him .,0
I would play tennis with my friend . ,I would  be   very   bad .,I practice at home every day.,0
I would play tennis with my friend . ,I would never win .,I practice a lot .,0
I would play tennis with my friend . ,I would never win .,I practice my swings more .,0
I would play tennis with my friend . ,I would never win .,I practice tennis every day .,0
I would play tennis with my friend . ,I would always lose .,I became determined to practice more .,0
I would play tennis with my friend . ,I would always lose .,I try to improve my skills by practicing more .,0
I would play tennis with my friend . ,I would always lose .,I practice with my coach beforehand .,0
My dad is taking me to work with him today . ,I will be bored .,I ask him to bring me a book to read .,0
My dad is taking me to work with him today . ,I will be bored .,I take my ipod with me.,0
My dad is taking me to work with him today . ,I will be bored .,I brought my tablet to keep me entertained.,0
My dad is taking me to the library because I have a project due . ,I will never be able to find anything good to read .,I bring my favorite book just in case.,0
My dad is taking me to the library because I have a project due . ,I will never be able to find anything good to read .,I go to the section with the most popular books .,0
I almost hit a pedestrian with my car . ,I will get sued .,I consult with a lawyer.,0
I almost hit a pedestrian with my car . ,I will get sued .,I stop the car and get out to check on the pedestrian .,0
I almost hit a pedestrian with my car . ,I will get sued .,I try to scrape some money together to pay for a lawyer .,0
I almost hit a pedestrian with my car . ,I will get into an accident .,I swerve to the side to avoid hitting him .,0
I almost hit a pedestrian with my car . ,I will get into an accident .,I slam on the brakes .,0
I almost hit a pedestrian with my car . ,I will get into an accident .,I brake suddenly .,0
I almost hit a pedestrian with my car . ,hat I am a bad driver .,I decided to take a driving course .,0
I almost hit a pedestrian with my car . ,hat I am a bad driver .,I refreshen my skills by reading driving tips online.,0
My boss also told me that I need to come in early tomorrow . ,I will not be able to wake up on time .,I set two alarms.,0
My boss also told me that I need to come in early tomorrow . ,I will never get a day off .,I text my best friend to vent .,0
My boss also told me that I need to come in early tomorrow . ,I will never get a day off .,I pretended to be sick .,0
My boss also told me that I need to come in early tomorrow . ,I will have to get up really early .,I go to bed early tonight .,0
My boss also told me that I need to come in early tomorrow . ,I will have to get up really early .,I set my alarm clock for 4:30 a.m.,0
I asked my friend to stay with me during winter break . ,s/he will say no .,I asked politely .,0
I asked my friend to stay with me during winter break . ,I may have to provide all the entertainment .,I try to think of some activities we can do together.,0
I asked my friend to stay with me during winter break . ,I may have to provide all the entertainment .,I plan to take her to all the great places in the city .,0
I asked my friend to stay with me during winter break . ,I may have to provide all the entertainment .,I rehearsed some jokes .,0
I asked my friend to stay with me during winter break . ,he may not want to stay with me the whole time .,I asked him what his plans were .,0
I asked my friend to stay with me during winter break . ,he may not want to stay with me the whole time .,I asked him if he would like to stay for a week .,0
I asked my friend to stay with me during winter break . ,he would take advantage of my hospitality .,I set some ground rules before he arrived .,0
I asked my friend to stay with me during winter break . ,he would take advantage of my hospitality .,I set some ground rules .,0
I will form my opinion after the presentation . ,I will not be respected .,I try to listen to others carefully .,0
I will form my opinion after the presentation . ,I will not be respected .,I try to be as objective as possible .,0
I will form my opinion after the presentation . ,I will not be respected .,I try to stay open-minded .,0
I will form my opinion after the presentation . ,will listen to me .,I practice expressing myself in front of the mirror.,0
I will form my opinion after the presentation . ,will listen to me .,I'll keep it to myself .,0
I will form my opinion after the presentation . ,I will not be able to do it .,I try to listen carefully to each side .,0
I will form my opinion after the presentation . ,I will not be able to do it .,I ask my friend for his opinion .,0
I will form my opinion after the presentation . ,I will not be able to do it .,I take some time to think about it .,0
I will form my opinion after the presentation . ,I will be influenced by others in the group .,I try to think for myself .,0
I will form my opinion after the presentation . ,I will be influenced by others in the group .,I try to seclude myself before making a decision .,0
I am forming a new organization with my friends . ,will not be successful .,I research how to make it work .,0
I am forming a new organization with my friends . ,will not be successful .,I consult many people for their opinions .,0
I am forming a new organization with my friends . ,will not be successful .,I try to boost everyone's morale .,0
I am forming a new organization with my friends . ,may not work out the way I want it to .,I research online on how to make it more successful .,0
I am forming a new organization with my friends . ,may not work out the way I want it to .,I create a backup plan .,0
I am forming a new organization with my friends . ,may not work out the way I want it to .,I research on how to start a club .,0
I am forming a new organization with my friends . ,will not work out .,I often consult older and more experienced friends .,0
I am forming a new organization with my friends . ,will not work out .,I asked my mentor for some advice .,0
I am forming a new organization with my friends . ,will not work out .,I consult with some professionals in the field.,0
The cashier gave me a description of the dress I wanted . ,I wouldn't be able to find it .,I asked her to draw a sketch of it.,0
The cashier gave me a description of the dress I wanted . ,I wouldn't be able to find it .,I asked her to help me look for it.,0
The cashier gave me a description of the dress I wanted . ,would not be in my size .,I asked for a different size .,0
The cashier gave me a description of the dress I wanted . ,It won't look good on me .,I asked her to show me a different one.,0
The cashier gave me a description of the dress I wanted . ,It won't look good on me .,I asked her to show me some more dresses .,0
The cashier gave me a description of the dress I wanted . ,would be too expensive .,I decided not to buy it .,0
The cashier gave me a description of the dress I wanted . ,she was trying to scam me .,I walked away .,0
The cashier gave me a description of the dress I wanted . ,she was trying to scam me .,I asked to see the manager.,0
I gave my boss an explanation for why I was late . ,he will not believe me .,I brought my timecard as proof .,0
I gave my boss an explanation for why I was late . ,he will not believe me .,I rehearsed what I was going to say .,0
I gave my boss an explanation for why I was late . ,he wouldn't understand .,I provided more evidence .,0
I gave my boss an explanation for why I was late . ,he wouldn't understand .,I articulate my words more carefully.,0
I gave my boss an explanation for why I was late . ,he wouldn't understand .,I provided more context .,0
I gave my boss an explanation for why I was late . ,he will think I am lying .,I provided him with concrete evidence .,0
I gave my boss an explanation for why I was late . ,he will think I am lying .,I tried to sound as sincere as possible .,0
I gave my boss an explanation for why I was late . ,he will think I am lying .,I rehearsed what I was going to say .,0
He gave her flowers on their first date . ,he will be too clingy .,I gave her space .,0
He gave her flowers on their first date . ,he will be too clingy .,I try to stay away from guys like him .,0
He gave her flowers on their first date . ,he is going to try to sleep with her .,I discourage her from seeing him .,0
He gave her flowers on their first date . ,he is going to try to sleep with her .,I give him a condom .,0
He gave her flowers on their first date . ,he may be trying to buy her affection .,I research the meaning of different flowers .,0
I am going on a date with my boyfriend tomorrow . ,he will not like me .,I try to become more like the person he likes .,0
I am going on a date with my boyfriend tomorrow . ,he will break up with me .,I prepare myself for the worst outcome.,0
I am going on a date with my boyfriend tomorrow . ,he will break up with me .,I read through some relationship tips online.,0
I am going on a date with my boyfriend tomorrow . ,hat he may not show up .,I am preparing myself for the worst.,0
