situation,clue,polarity
I need to buy a new pair of shoes . ,I have size 14 feet .,0
I need to buy a new pair of shoes . ,I have a wide foot .,0
I need to buy a new pair of shoes . ,the shoes are too expensive .,0
I need to buy a new pair of shoes . ,I spend too much money on unnecessary things .,0
I need to buy a new pair of shoes . ,my salary is not high .,0
I need to buy a new pair of shoes . ,my feet are so big .,0
I need to buy a new pair of shoes . ,I have a limited budget .,0
I need to buy a new pair of shoes . ,I need to save money for my phone bill .,0
I continued to drive despite the warnings . ,it was in such poor condition .,0
I continued to drive despite the warnings . ,the streets were flooded .,0
I continued to drive despite the warnings . ,the roads were icy .,0
I continued to drive despite the warnings . ,it was raining very hard .,0
I continued to drive despite the warnings . ,I was driving recklessly .,0
I continued to drive despite the warnings . ,the  car  was  not  in  good  condition .,0
I continued to drive despite the warnings . ,the weather was very bad .,0
I continued to drive despite the warnings . ,the conditions were hazardous .,0
I continued to drive despite the warnings . ,the car wasn't in the best condition .,0
The students crowd around the table to get a better view of the experiment . ,I am short .,0
The students crowd around the table to get a better view of the experiment . ,I am too short .,0
The students crowd around the table to get a better view of the experiment . ,I am the shortest person in our class .,0
The students crowd around the table to get a better view of the experiment . ,I'm too short .,0
The students crowd around the table to get a better view of the experiment . ,Other studnets  are too tall .,0
The students crowd around the table to get a better view of the experiment . ,the table is quite old .,0
The students crowd around the table to get a better view of the experiment . ,the table is old and rusty .,0
The students crowd around the table to get a better view of the experiment . ,it is overloaded .,0
I decided to go on a hike with my friends . ,I  didn't  bring  a  map .,0
I decided to go on a hike with my friends . ,I  don't  know  the  area  well .,0
I decided to go on a hike with my friends . ,I  have  a  terrible  sense  of  direction .,0
I decided to go on a hike with my friends . ,I'm not very athletic .,0
I decided to go on a hike with my friends . ,I have a cold .,0
I decided to go on a hike with my friends . ,I haven't hiked before .,0
I decided to go on a hike with my friends . ,I am not very coordinated .,0
I yelled back at my brother when he called me names . ,I know that Mom and Dad don't like us fighting .,0
I yelled back at my brother when he called me names . ,mom says we are not supposed to yell at each other .,0
I yelled back at my brother when he called me names . ,I know my parents don't tolerate that .,0
I yelled back at my brother when he called me names . ,he is my only brother .,0
I yelled back at my brother when he called me names . ,I never yell back at him .,0
I yelled back at my brother when he called me names . ,I was really disrespectful .,0
I yelled back at my brother when he called me names . ,I made him really mad .,0
I would play tennis with my friend . ,I never play tennis before .,0
I would play tennis with my friend . ,I'm not very good at sports .,0
I would play tennis with my friend . ,my friend is better at playing tennis .,0
I would play tennis with my friend . ,I haven't played tennis before .,0
I would play tennis with my friend . ,I never played tennis before .,0
I would play tennis with my friend . ,my friend is better than me .,0
I would play tennis with my friend . ,my friend is a professional player .,0
I would play tennis with my friend . ,my friend is very good at tennis .,0
I would play tennis with my friend . ,my friend is a professional player .,0
I would play tennis with my friend . ,my friend is a much better player .,0
I would play tennis with my friend . ,my skills are not as good as his .,0
