situation,clue,thought,polarity
I accidentally bit my lip while eating . , it's really  deep . , I will have a permanent mark . ,0
I agree to the challenge of being able to work less and still get paid the same . , I have a lot of willpower and I'm determined . , I will be able to achieve it . ,1
I take my boss to the library to find a book for him . , my boss  didn't give me  the name of the book he wanted . , I will  not find the book . ,0
I give my boss a detailed description of the project I have been working on . , I have been working hard on it for weeks . , he will be happy with the results . ,1
I beat my friend in a video game . , I  always  win . , I will  gloat . ,0
I asked my friend for relationship advice since they've been together for so long . , they have been through a lot together and their relationship is still going strong . , their relationship is amazing . ,1
"I saw my friend's crush at the library the other day, so I went up and talked to her . ", she has been really nervous about talking to her . , my friend will be really happy that I talked to her . ,1
I asked for my boss's pardon after I accidently spilled coffee on his laptop . , he was very angry and I made a lot of mistakes recently . , I will lose my job . ,0
I ask all my friends if they want to go out to eat with me and my boss . , we all like trying new restaurants . , my boss and friends will enjoy the food . ,1
I give my boss an explanation for why I was late to work . , I have never lied to him before . , he will believe me . ,1
I am always taking my parents for granted . , I don't appreciate them . , they will not be there for me when I need them . ,0
My boyfriend asked me to prom in a super romantic way . , nobody else asked me . , he is only doing it because he feels sorry for me . ,0
I ask my boss if he wants to play tennis with me . , I am taking a break . , he will think I am not working enough . ,0
I saw a really nice vase at a store and bought it for my mom . , I didn't ask her first . , she may not like it . ,0
She efficiently allocates her time between work and relaxation . , I can't find time to relax . , she is better than me . ,0
My employer asserts their right to privacy in the workplace . , I will challenge their right to privacy . , I will be accused of being a troublemaker . ,0
The doctor asked me to sit down on the examination table . , the doctor has a good reputation  . , the result will be positive . ,1
I needed to ask my boss for my co-worker's phone number . , my boss is the only one who has it . , it was the right thing to do . ,1
My parents asked me for money to help pay the bills . , I'm their child  . , I'm doing my part to help . ,1
I ask my daughter what she wants for breakfast . , she always wants something that I don't have . , she will say something that I don't have . ,0
I am accompanied by my boss's wife . , she is the wife of my boss . , it will be an honor to meet her . ,1
I relied on my friend's experiences when planning my own trip to Europe . , my friend's trip was a disaster . , my trip will be a failure . ,0
He's advancing towards me with a knife . , he seems angry . , I'll be stabbed . ,0
I was in the middle of a project at work when my boss called me into his office and told me I was being promoted . , he complimented me on my hard work . , my boss has been noticing my work and values it . ,1
My boss agreed to take me to the conference . , it will be a great chance to meet new people . , it will be a networking opportunity for me . ,1
I asked the author to write a book about their experiences . , they are an experienced author . , it will be an interesting book . ,1
I was talking to my friends about baby names the other day and one of them said they liked the name 'Ashley' . , it is my favorite name . , it is a pretty name . ,1
I get on the plane to go on my business trip . , I will be meeting new people and seeing new places . , I am going to learn so much on the trip . ,1
The doorman wouldn't allow me to enter the building without my ID . , the last time I used it . , I lost my ID . ,0
The army advances towards the town . , the army outnumbers the town's population . , the town will be captured . ,0
